tl,mu,Mpi_block,Cop_block,Mpi_over_Cop,Cop_over_Cphys
54,24.487678101821263,28590.545454545456,29376,0.9732620320855615,0.21442335766423357
55,24.43216902955014,29120.0,29920,0.9732620320855615,0.2183941605839416
56,24.476320505447568,29649.454545454544,30464,0.9732620320855615,0.22236496350364965
57,24.51183160627852,30178.90909090909,31008,0.9732620320855614,0.22633576642335768
58,24.572403797575014,30708.363636363636,31552,0.9732620320855615,0.2303065693430657
59,24.60713589529788,31237.81818181818,32096,0.9732620320855614,0.23427737226277373
60,24.64272030702691,31767.272727272724,32640,0.9732620320855614,0.23824817518248176
61,24.653234517622924,32296.727272727276,33184,0.9732620320855616,0.24221897810218979
62,24.679623588292007,32826.18181818182,33728,0.9732620320855616,0.2461897810218978
63,24.52828821914668,33355.63636363637,34272,0.9732620320855616,0.25016058394160584
64,24.5794464071343,33885.09090909091,34816,0.9732620320855616,0.25413138686131387
65,24.619188495900513,34414.545454545456,35360,0.9732620320855615,0.2581021897810219
66,24.604898629387286,34944.0,35904,0.9732620320855615,0.2620729927007299
67,24.585362650283077,35473.454545454544,36448,0.9732620320855615,0.26604379562043795
68,24.558712989894957,36002.90909090909,36992,0.9732620320855614,0.270014598540146
69,24.51732965347597,36532.36363636363,37536,0.9732620320855614,0.273985401459854
70,24.48740700984841,37061.81818181818,38080,0.9732620320855614,0.27795620437956203
71,24.420068820848027,37591.27272727273,38624,0.9732620320855615,0.28192700729927006
72,24.40555009519453,38120.72727272727,39168,0.9732620320855615,0.2858978102189781
73,24.34511759979327,38650.18181818182,39712,0.9732620320855616,0.2898686131386861
74,24.329282556336878,39179.63636363637,40256,0.9732620320855616,0.29383941605839414
75,24.30524590612304,39709.09090909091,40800,0.9732620320855616,0.29781021897810217
76,24.27337140597478,40238.545454545456,41344,0.9732620320855615,0.3017810218978102
77,24.25746327855783,40768.0,41888,0.9732620320855615,0.3057518248175182
78,24.217571277589432,41297.454545454544,42432,0.9732620320855615,0.30972262773722625
79,24.234345165367298,41826.90909090909,42976,0.9732620320855614,0.3136934306569343
80,24.198933433371977,42356.36363636363,43520,0.9732620320855614,0.31766423357664236
81,24.179040298293362,42885.81818181818,44064,0.9732620320855614,0.3216350364963504
82,24.1705385299441,43415.27272727273,44608,0.9732620320855615,0.3256058394160584
83,24.15015847036487,43944.72727272727,45152,0.9732620320855615,0.32957664233576645
84,24.126380978656286,44474.18181818182,45696,0.9732620320855616,0.3335474452554745
85,24.072031613452165,45003.63636363637,46240,0.9732620320855616,0.3375182481751825
86,24.033921202710165,45533.09090909091,46784,0.9732620320855615,0.34148905109489053
87,24.01660521546667,46062.545454545456,47328,0.9732620320855615,0.34545985401459856
88,23.97023873226596,46592.0,47872,0.9732620320855615,0.3494306569343066
89,24.069768943831967,47121.45454545455,48416,0.9732620320855616,0.3534014598540146
90,24.134964336476777,47650.90909090909,48960,0.9732620320855614,0.35737226277372264
91,24.159809683104832,48180.36363636364,49504,0.9732620320855616,0.36134306569343067
92,24.217454881981908,48709.81818181818,50048,0.9732620320855614,0.3653138686131387
93,24.258678555474475,49239.27272727273,50592,0.9732620320855615,0.3692846715328467
94,24.31391263786842,49768.72727272727,51136,0.9732620320855615,0.37325547445255475
95,24.36643897191601,50298.18181818182,51680,0.9732620320855616,0.3772262773722628
96,24.410035712394823,50827.63636363636,52224,0.9732620320855614,0.3811970802919708
97,24.46696135513866,51357.09090909091,52768,0.9732620320855615,0.38516788321167883
98,24.50990518155667,51886.54545454545,53312,0.9732620320855614,0.38913868613138686
99,24.535111168020062,52416.0,53856,0.9732620320855615,0.3931094890510949
100,24.583091465924454,52945.45454545455,54400,0.9732620320855616,0.3970802919708029
