prompt_type,batch_kind,num_decode,decode_stage,prefill_chunk,kv_cache_tokens,batch_tokens,time_s
d125,decode,64,125,0,10304,64,0.014912010666213152
d125,mixed,0,62,36,0,36,0.010284641836276726
d125,mixed,0,62,36,0,36,0.010284641836276726
d125,mixed,8,62,36,784,44,0.011195321187503503
d125,mixed,8,62,36,784,44,0.011195321187503503
d150,decode,1,38,0,77,1,0.00957234430616891
d150,decode,1,75,0,114,1,0.00957234430616891
d150,decode,1,150,0,189,1,0.00957234430616891
d150,decode,8,38,0,616,8,0.010021344401731828
d150,decode,8,75,0,912,8,0.010021344401731828
d150,decode,8,150,0,1512,8,0.01004459773506516
d150,decode,32,38,0,2464,32,0.012282197881677458
d150,decode,32,75,0,3648,32,0.012282197881677458
d150,decode,32,150,0,6048,32,0.012282197881677458
d150,decode,64,38,0,4928,64,0.014795208738149377
d150,decode,64,75,0,7296,64,0.014795208738149377
d150,decode,64,150,0,12096,64,0.014912010666213152
d150,mixed,0,75,39,0,39,0.010284641836276726
d150,mixed,0,75,39,0,39,0.010284641836276726
d150,mixed,8,75,39,912,47,0.011195321187503503
d150,mixed,8,75,39,912,47,0.011195321187503503
d175,decode,1,44,0,81,1,0.00957234430616891
d175,decode,1,88,0,125,1,0.00957234430616891
d175,decode,1,175,0,212,1,0.00964282504967829
d175,decode,8,44,0,648,8,0.010021344401731828
d175,decode,8,88,0,1000,8,0.010021344401731828
d175,decode,8,175,0,1696,8,0.010739627963710592
d175,decode,32,44,0,2592,32,0.012282197881677458
d175,decode,32,88,0,4000,32,0.012282197881677458
d175,decode,32,175,0,6784,32,0.013617097519356736
d175,decode,64,44,0,5184,64,0.014795208738149377
d175,decode,64,88,0,8000,64,0.014795208738149377
d175,decode,64,175,0,13568,64,0.016807230012099026
d175,mixed,0,88,37,0,37,0.010284641836276726
d175,mixed,0,88,37,0,37,0.010284641836276726
d175,mixed,8,88,37,1000,45,0.011195321187503503
d175,mixed,8,88,37,1000,45,0.011195321187503503
d200,decode,1,50,0,84,1,0.00957234430616891
d200,decode,1,100,0,134,1,0.00957234430616891
d200,decode,1,200,0,234,1,0.00964282504967829
d200,decode,8,50,0,672,8,0.010021344401731828
d200,decode,8,100,0,1072,8,0.01004459773506516
d200,decode,8,200,0,1872,8,0.010739627963710592
d200,decode,32,50,0,2688,32,0.012282197881677458
d200,decode,32,100,0,4288,32,0.012282197881677458
d200,decode,32,200,0,7488,32,0.013617097519356736
d200,decode,64,50,0,5376,64,0.014795208738149377
d200,decode,64,100,0,8576,64,0.014912010666213152
d200,decode,64,200,0,14976,64,0.016807230012099026
d200,mixed,0,100,34,0,34,0.010284641836276726
d200,mixed,0,100,34,0,34,0.010284641836276726
d200,mixed,8,100,34,1072,42,0.011218574520836836
d200,mixed,8,100,34,1072,42,0.011218574520836836
d225,decode,1,56,0,90,1,0.00957234430616891
d225,decode,1,112,0,146,1,0.00957234430616891
d225,decode,1,225,0,259,1,0.009690974718237485
d225,decode,8,56,0,720,8,0.010021344401731828
d225,decode,8,112,0,1168,8,0.01004459773506516
d225,decode,8,225,0,2072,8,0.010836070872239777
d225,decode,32,56,0,2880,32,0.012282197881677458
d225,decode,32,112,0,4672,32,0.012282197881677458
d225,decode,32,225,0,8288,32,0.013687028133486333
d225,decode,64,56,0,5760,64,0.014795208738149377
d225,decode,64,112,0,9344,64,0.014912010666213152
d225,decode,64,225,0,16576,64,0.016803982068503257
d225,mixed,0,112,34,0,34,0.010284641836276726
d225,mixed,0,112,34,0,34,0.010284641836276726
d225,mixed,8,112,34,1168,42,0.011218574520836836
d225,mixed,8,112,34,1168,42,0.011218574520836836
d250,decode,1,62,0,98,1,0.00957234430616891
d250,decode,1,125,0,161,1,0.00957234430616891
d250,decode,1,250,0,286,1,0.009690974718237485
d250,decode,8,62,0,784,8,0.010021344401731828
d250,decode,8,125,0,1288,8,0.01004459773506516
d250,decode,8,250,0,2288,8,0.010836070872239777
d250,decode,32,62,0,3136,32,0.012282197881677458
d250,decode,32,125,0,5152,32,0.012282197881677458
d250,decode,32,250,0,9152,32,0.013687028133486333
d250,decode,64,62,0,6272,64,0.014795208738149377
d250,decode,64,125,0,10304,64,0.014912010666213152
d250,decode,64,250,0,18304,64,0.016803982068503257
d250,mixed,0,125,36,0,36,0.010284641836276726
d250,mixed,0,125,36,0,36,0.010284641836276726
d250,mixed,8,125,36,1288,44,0.011218574520836836
d250,mixed,8,125,36,1288,44,0.011218574520836836
d275,decode,1,69,0,104,1,0.00957234430616891
d275,decode,1,138,0,173,1,0.00957234430616891
d275,decode,1,275,0,310,1,0.009690974718237485
d275,decode,8,69,0,832,8,0.010021344401731828
d275,decode,8,138,0,1384,8,0.01004459773506516
d275,decode,8,275,0,2480,8,0.010836070872239777
d275,decode,32,69,0,3328,32,0.012282197881677458
d275,decode,32,138,0,5536,32,0.012282197881677458
d275,decode,32,275,0,9920,32,0.013687028133486333
d275,decode,64,69,0,6656,64,0.014795208738149377
d275,decode,64,138,0,11072,64,0.014912010666213152
d275,decode,64,275,0,19840,64,0.016803982068503257
d275,mixed,0,138,35,0,35,0.010284641836276726
d275,mixed,0,138,35,0,35,0.010284641836276726
d275,mixed,8,138,35,1384,43,0.011218574520836836
d275,mixed,8,138,35,1384,43,0.011218574520836836
d300,decode,1,75,0,112,1,0.00957234430616891
d300,decode,1,150,0,187,1,0.00957234430616891
d300,decode,1,300,0,337,1,0.009839371500510362
d300,decode,8,75,0,896,8,0.010021344401731828
d300,decode,8,150,0,1496,8,0.01004459773506516
d300,decode,8,300,0,2696,8,0.011103130763059358
d300,decode,32,75,0,3584,32,0.012282197881677458
d300,decode,32,150,0,5984,32,0.012282197881677458
d300,decode,32,300,0,10784,32,0.014452497603820256
d300,decode,64,75,0,7168,64,0.014795208738149377
d300,decode,64,150,0,11968,64,0.014912010666213152
d300,decode,64,300,0,21568,64,0.018908851926970376
d300,mixed,0,150,37,0,37,0.010284641836276726
d300,mixed,0,150,37,0,37,0.010284641836276726
d300,mixed,8,150,37,1496,45,0.011218574520836836
d300,mixed,8,150,37,1496,45,0.011218574520836836
d325,decode,1,81,0,115,1,0.00957234430616891
d325,decode,1,162,0,196,1,0.00964282504967829
d325,decode,1,325,0,359,1,0.009839371500510362
d325,decode,8,81,0,920,8,0.010021344401731828
d325,decode,8,162,0,1568,8,0.010739627963710592
d325,decode,8,325,0,2872,8,0.011103130763059358
d325,decode,32,81,0,3680,32,0.012282197881677458
d325,decode,32,162,0,6272,32,0.013617097519356736
d325,decode,32,325,0,11488,32,0.014452497603820256
d325,decode,64,81,0,7360,64,0.014795208738149377
d325,decode,64,162,0,12544,64,0.016807230012099026
d325,decode,64,325,0,22976,64,0.018908851926970376
d325,mixed,0,162,34,0,34,0.010284641836276726
d325,mixed,0,162,34,0,34,0.010284641836276726
d325,mixed,8,162,34,1568,42,0.011913604749482267
d325,mixed,8,162,34,1568,42,0.011913604749482267
d350,decode,1,88,0,129,1,0.00957234430616891
d350,decode,1,175,0,216,1,0.00964282504967829
d350,decode,1,350,0,391,1,0.009838954184493046
d350,decode,8,88,0,1032,8,0.01004459773506516
d350,decode,8,175,0,1728,8,0.010739627963710592
d350,decode,8,350,0,3128,8,0.011103130763059358
d350,decode,32,88,0,4128,32,0.012282197881677458
d350,decode,32,175,0,6912,32,0.013617097519356736
d350,decode,32,350,0,12512,32,0.014704566224461552
d350,decode,64,88,0,8256,64,0.014912010666213152
d350,decode,64,175,0,13824,64,0.016807230012099026
d350,decode,64,350,0,25024,64,0.018990897846192765
d350,mixed,0,175,41,0,41,0.010288885645800534
d350,mixed,0,175,41,0,41,0.010288885645800534
d350,mixed,8,175,41,1728,49,0.011958818082815601
d350,mixed,8,175,41,1728,49,0.011958818082815601
d375,decode,1,94,0,136,1,0.00957234430616891
d375,decode,1,188,0,230,1,0.00964282504967829
d375,decode,1,375,0,417,1,0.009838954184493046
d375,decode,8,94,0,1088,8,0.01004459773506516
d375,decode,8,188,0,1840,8,0.010739627963710592
d375,decode,8,375,0,3336,8,0.011103130763059358
d375,decode,32,94,0,4352,32,0.012282197881677458
d375,decode,32,188,0,7360,32,0.013617097519356736
d375,decode,32,375,0,13344,32,0.014704566224461552
d375,decode,64,94,0,8704,64,0.014912010666213152
d375,decode,64,188,0,14720,64,0.016807230012099026
d375,decode,64,375,0,26688,64,0.018990897846192765
d375,mixed,0,188,42,0,42,0.010288885645800534
d375,mixed,0,188,42,0,42,0.010288885645800534
d375,mixed,8,188,42,1840,50,0.011958818082815601
d375,mixed,8,188,42,1840,50,0.011958818082815601
d400,decode,1,100,0,141,1,0.00957234430616891
d400,decode,1,200,0,241,1,0.00964282504967829
d400,decode,1,400,0,441,1,0.009838954184493046
d400,decode,8,100,0,1128,8,0.01004459773506516
d400,decode,8,200,0,1928,8,0.010739627963710592
d400,decode,8,400,0,3528,8,0.011103130763059358
d400,decode,32,100,0,4512,32,0.012282197881677458
d400,decode,32,200,0,7712,32,0.013617097519356736
d400,decode,32,400,0,14112,32,0.014704566224461552
d400,decode,64,100,0,9024,64,0.014912010666213152
d400,decode,64,200,0,15424,64,0.016807230012099026
d400,decode,64,400,0,28224,64,0.018990897846192765
d400,mixed,0,200,41,0,41,0.010288885645800534
d400,mixed,0,200,41,0,41,0.010288885645800534
d400,mixed,8,200,41,1928,49,0.011958818082815601
d400,mixed,8,200,41,1928,49,0.011958818082815601
d425,decode,1,106,0,145,1,0.00957234430616891
d425,decode,1,212,0,251,1,0.00964282504967829
d425,decode,1,425,0,464,1,0.00987043595972276
d425,decode,8,106,0,1160,8,0.01004459773506516
d425,decode,8,212,0,2008,8,0.010739627963710592
d425,decode,8,425,0,3712,8,0.011767472172575545
d425,decode,32,106,0,4640,32,0.012282197881677458
d425,decode,32,212,0,8032,32,0.013617097519356736
d425,decode,32,425,0,14848,32,0.0156321548893129
d425,decode,64,106,0,9280,64,0.014912010666213152
d425,decode,64,212,0,16064,64,0.016807230012099026
d425,decode,64,425,0,29696,64,0.020758136594983944
d425,mixed,0,212,39,0,39,0.010284641836276726
d425,mixed,0,212,39,0,39,0.010284641836276726
d425,mixed,8,212,39,2008,47,0.011913604749482267
d425,mixed,8,212,39,2008,47,0.011913604749482267
d450,decode,1,112,0,149,1,0.00957234430616891
d450,decode,1,225,0,262,1,0.009690974718237485
d450,decode,1,450,0,487,1,0.00987043595972276
d450,decode,8,112,0,1192,8,0.01004459773506516
d450,decode,8,225,0,2096,8,0.010836070872239777
d450,decode,8,450,0,3896,8,0.011767472172575545
d450,decode,32,112,0,4768,32,0.012282197881677458
d450,decode,32,225,0,8384,32,0.013687028133486333
d450,decode,32,450,0,15584,32,0.0156321548893129
d450,decode,64,112,0,9536,64,0.014912010666213152
d450,decode,64,225,0,16768,64,0.016803982068503257
d450,decode,64,450,0,31168,64,0.020758136594983944
d450,mixed,0,225,37,0,37,0.010284641836276726
d450,mixed,0,225,37,0,37,0.010284641836276726
d450,mixed,8,225,37,2096,45,0.012010047658011452
d450,mixed,8,225,37,2096,45,0.012010047658011452
d475,decode,1,119,0,159,1,0.00957234430616891
d475,decode,1,238,0,278,1,0.009690974718237485
d475,decode,1,475,0,515,1,0.009864548827837012
d475,decode,8,119,0,1272,8,0.01004459773506516
d475,decode,8,238,0,2224,8,0.010836070872239777
d475,decode,8,475,0,4120,8,0.011767472172575545
d475,decode,32,119,0,5088,32,0.012282197881677458
d475,decode,32,238,0,8896,32,0.013687028133486333
d475,decode,32,475,0,16480,32,0.015764986879210827
d475,decode,64,119,0,10176,64,0.014912010666213152
d475,decode,64,238,0,17792,64,0.016803982068503257
d475,decode,64,475,0,32960,64,0.021149473767643288
d475,mixed,0,238,40,0,40,0.010284641836276726
d475,mixed,0,238,40,0,40,0.010284641836276726
d475,mixed,8,238,40,2224,48,0.012010047658011452
d475,mixed,8,238,40,2224,48,0.012010047658011452
d500,decode,1,125,0,165,1,0.00957234430616891
d500,decode,1,250,0,290,1,0.009690974718237485
d500,decode,1,500,0,540,1,0.009864548827837012
d500,decode,8,125,0,1320,8,0.01004459773506516
d500,decode,8,250,0,2320,8,0.010836070872239777
d500,decode,8,500,0,4320,8,0.011767472172575545
d500,decode,32,125,0,5280,32,0.012282197881677458
d500,decode,32,250,0,9280,32,0.013687028133486333
d500,decode,32,500,0,17280,32,0.015764986879210827
d500,decode,64,125,0,10560,64,0.014912010666213152
d500,decode,64,250,0,18560,64,0.016803982068503257
d500,decode,64,500,0,34560,64,0.021149473767643288
d500,mixed,0,250,40,0,40,0.010284641836276726
d500,mixed,0,250,40,0,40,0.010284641836276726
d500,mixed,8,250,40,2320,48,0.012010047658011452
d500,mixed,8,250,40,2320,48,0.012010047658011452
