batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
138,1769708165.9073706,decode,72,363232,0.15466553119012136,363160,72,4896.283933855102,0,0,0,0,0,0.0
139,1769708165.9184277,decode,72,368232,0.1567945497125825,363232,72,4896.283933855102,1,0,0,0,0,0.0
141,1769708165.9323244,decode,73,373305,0.1589546519054716,368305,73,4896.283933855102,1,0,0,0,0,0.0
143,1769708165.9458447,decode,74,378379,0.16111517990206514,373379,74,4896.283933855102,1,0,0,0,0,0.0
145,1769708165.9593127,decode,75,383454,0.1632761337023632,378454,75,4896.283933855102,1,0,0,0,0,0.0
147,1769708165.9729128,decode,76,388530,0.16543751330636577,383530,76,4896.283933855102,1,0,0,0,0,0.0
149,1769708165.988464,decode,77,393607,0.16759931871407283,388607,77,4896.283933855102,1,0,0,0,0,0.0
151,1769708166.0023806,decode,78,398685,0.16976154992548434,393685,78,4896.283933855102,1,0,0,0,0,0.0
154,1769708166.0186193,decode,80,403845,0.17195869704066424,403765,80,4896.283933855102,0,0,0,0,0,0.0
155,1769708166.0302398,decode,80,408845,0.1740877155631254,403845,80,4896.283933855102,1,0,0,0,0,0.0
157,1769708166.0448997,decode,81,413926,0.17625122418565042,408926,81,4896.283933855102,1,0,0,0,0,0.0
159,1769708166.0592458,decode,82,419008,0.17841515861187993,414008,82,4896.283933855102,1,0,0,0,0,0.0
161,1769708166.073635,decode,83,424091,0.18057951884181392,419091,83,4896.283933855102,1,0,0,0,0,0.0
164,1769708166.0904646,decode,85,429261,0.18278092399403875,429176,85,4896.283933855102,0,0,0,0,0,0.0
165,1769708166.1025505,decode,85,434261,0.1849099425164999,429261,85,4896.283933855102,1,0,0,0,0,0.0
168,1769708166.1192324,decode,87,439435,0.1871130508835427,439348,87,4896.283933855102,0,0,0,0,0,0.0
169,1769708166.1315198,decode,87,444435,0.18924206940600383,439435,87,4896.283933855102,1,0,0,0,0,0.0
172,1769708166.1495266,decode,89,449613,0.19144688098786458,449524,89,4896.283933855102,0,0,0,0,0,0.0
173,1769708166.1619694,decode,89,454613,0.19357589951032575,449613,89,4896.283933855102,1,0,0,0,0,0.0
176,1769708166.1795151,decode,91,459795,0.19578241430700447,459704,91,4896.283933855102,0,0,0,0,0,0.0
177,1769708166.1920938,decode,91,464795,0.1979114328294656,459795,91,4896.283933855102,1,0,0,0,0,0.0
180,1769708166.20955,decode,93,474888,0.2022090696189057,469888,93,4896.283933855102,1,0,0,0,0,0.0
183,1769708166.2269866,decode,95,480078,0.20441899084522036,479983,95,4896.283933855102,0,0,0,0,0,0.0
184,1769708166.2399735,decode,95,485078,0.2065480093676815,480078,95,4896.283933855102,1,0,0,0,0,0.0
187,1769708166.2584941,decode,97,490272,0.20875963380881413,490175,97,4896.283933855102,0,0,0,0,0,0.0
188,1769708166.2716396,decode,97,495272,0.2108886523312753,490272,97,4896.283933855102,1,0,0,0,0,0.0
191,1769708166.289689,decode,99,500470,0.21310197998722588,500371,99,4896.283933855102,0,0,0,0,0,0.0
192,1769708166.3029892,decode,99,505470,0.21523099850968702,500470,99,4896.283933855102,1,0,0,0,0,0.0
194,1769708166.3185475,decode,100,505670,0.21531615925058548,505570,100,4896.283933855102,0,0,0,0,0,0.0
195,1769708166.331881,decode,100,505770,0.2153587396210347,505670,100,4896.283933855102,0,0,0,0,0,0.0
196,1769708166.3451288,decode,100,505870,0.21540131999148393,505770,100,4896.283933855102,0,0,0,0,0,0.0
