request_id,req_type,prefill_tokens,decode_tokens,target_arrival,actual_send_offset,send_delay,send_time_epoch,recv_time_epoch,client_latency,server_prompt_tokens,server_completion_tokens,server_e2e_latency
1758,short,5000,1211,0.17792953358708458,0.3950057029724121,0.21707616938532753,1771519809.7985969,1771519962.2508411,152.4522442817688,5000,1211,144.5683994293213
1759,long,5000,1000,0.1781391202395375,0.39515137672424316,0.21701225648470565,1771519809.7987425,1771519952.1890116,142.3902690410614,5000,1000,134.01026368141174
1760,short,5000,1211,0.17826967276768846,0.3952972888946533,0.21702761612696486,1771519809.7988884,1771519974.2966251,164.4977366924286,5000,1211,155.41068696975708
1761,short,5000,1211,0.17835332732872228,0.3954434394836426,0.2170901121549203,1771519809.7990346,1771519978.0308933,168.23185873031616,5000,1211,158.3552644252777
1762,short,5000,1211,0.17841339257915173,0.39559388160705566,0.21718048902790393,1771519809.799185,1771519979.5346339,169.73544883728027,5000,1211,159.1038055419922
1763,short,5000,1211,0.17850890054077345,0.39574289321899414,0.2172339926782207,1771519809.799334,1771520042.3859298,232.5865957736969,5000,1211,221.19551825523376
1764,long,5000,1000,0.17864160014819236,0.3958919048309326,0.21725030468274026,1771519809.799483,1771520034.6886353,224.8891522884369,5000,1000,212.83411812782288
1765,short,5000,1211,0.1786873640908021,0.39603614807128906,0.21734878398048696,1771519809.7996273,1771520056.728205,246.92857766151428,5000,1211,234.26877188682556
1766,long,5000,1000,0.17869973506267528,0.39618396759033203,0.21748423252765675,1771519809.7997751,1771520040.9153256,231.1155505180359,5000,1000,217.89527797698975
1767,short,5000,1211,0.17874977643276516,0.39632749557495117,0.21757771914218602,1771519809.7999187,1771520061.204246,251.40432739257812,5000,1211,237.57039594650269
1768,short,5000,1211,0.1789454888818746,0.3965260982513428,0.2175806093694682,1771519809.8001173,1771520071.1830714,261.382954120636,5000,1211,247.0136058330536
1769,long,5000,1000,0.17898106870683989,0.39667606353759766,0.21769499483075777,1771519809.8002672,1771520058.922848,249.12258076667786,5000,1000,234.16668581962585
1770,short,5000,1211,0.17905081608973056,0.3968179225921631,0.21776710650243253,1771519809.800409,1771520078.3735745,268.57316541671753,5000,1211,252.9356071949005
1771,long,5000,1000,0.1791045058484103,0.39696240425109863,0.21785789840268832,1771519809.8005536,1771520229.9682515,420.16769790649414,5000,1000,397.7251217365265
1772,short,5000,1211,0.17921142956303351,0.3971126079559326,0.2179011783928991,1771519809.8007038,1771520240.8421893,431.0414855480194,5000,1211,408.45862770080566
1773,short,5000,1211,0.17932601464205172,0.3972616195678711,0.21793560492581937,1771519809.8008528,1771520241.0742636,431.27341079711914,5000,1211,408.5361475944519
1774,short,5000,1211,0.17939577463710418,0.39741039276123047,0.21801461812412629,1771519809.8010015,1771520241.310248,431.5092463493347,5000,1211,408.5955078601837
1775,long,5000,1000,0.179473536065825,0.39755916595458984,0.21808562988876484,1771519809.8011503,1771520231.3400745,421.5389242172241,5000,1000,398.500346660614
1776,long,5000,1000,0.17973428782621195,0.3977024555206299,0.21796816769441793,1771519809.8012936,1771520231.5317314,421.7304377555847,5000,1000,398.54523491859436
1777,short,5000,1211,0.17998882808133462,0.39784789085388184,0.2178590627725472,1771519809.801439,1771520241.6079428,431.8065037727356,5000,1211,408.4687261581421
1778,long,5000,1000,0.18003390957698506,0.39800286293029785,0.2179689533533128,1771519809.801594,1771520232.2585492,422.45695519447327,5000,1000,398.9540629386902
1779,long,5000,1000,0.1802474264151219,0.398144006729126,0.21789658031400408,1771519809.8017352,1771520232.4572685,422.6555333137512,5000,1000,398.9683711528778
1780,short,5000,1211,0.18027727898208115,0.39833712577819824,0.2180598467961171,1771519809.8019283,1771520244.0513499,434.2494215965271,5000,1211,410.4725019931793
1781,long,5000,1000,0.18028649045464668,0.39849090576171875,0.21820441530707207,1771519809.802082,1771520237.445355,427.6432728767395,5000,1000,403.7121202945709
1782,short,5000,1211,0.18030746988170576,0.398637056350708,0.21832958646900225,1771519809.8022282,1771520244.9429057,435.1406774520874,5000,1211,411.05328273773193
1783,long,5000,1000,0.18044399385948512,0.3987998962402344,0.21835590238074926,1771519809.802391,1771520238.8774538,429.07506275177,5000,1000,404.8356931209564
1784,short,5000,1211,0.18071317086724964,0.3989443778991699,0.21823120703192028,1771519809.8025355,1771520245.3321118,435.5295763015747,5000,1211,411.13678550720215
1785,short,5000,1211,0.18084683493318202,0.3990912437438965,0.21824440881071447,1771519809.8026824,1771520245.4347725,435.6320900917053,5000,1211,411.1031060218811
1786,long,5000,1000,0.1812795791784885,0.3992335796356201,0.21795400045713162,1771519809.8028247,1771520240.0276017,430.2247769832611,5000,1000,405.5587089061737
1787,short,5000,1211,0.18129674283123998,0.3993804454803467,0.2180837026491067,1771519809.8029716,1771520245.7736213,435.9706497192383,5000,1211,411.1387164592743
1788,short,5000,1211,0.18161848572202596,0.3995375633239746,0.21791907760194865,1771519809.8031287,1771520245.8065536,436.0034248828888,5000,1211,411.0349898338318
1789,short,5000,1211,0.18172923704587768,0.39969301223754883,0.21796377519167115,1771519809.8032842,1771520245.9197116,436.1164274215698,5000,1211,410.98454117774963
1790,short,5000,1211,0.1817337821637732,0.39983582496643066,0.21810204280265746,1771519809.803427,1771520245.9553938,436.15196681022644,5000,1211,410.88201332092285
1791,short,5000,1211,0.1817963622733285,0.4000241756439209,0.2182278133705924,1771519809.8036153,1771520245.9760675,436.17245221138,5000,1211,410.76475954055786
1792,long,5000,1000,0.18183373905609,0.4001729488372803,0.21833920978119029,1771519809.803764,1771520241.7308881,431.9271240234375,5000,1000,406.341756105423
1793,long,5000,1000,0.18184256574531352,0.40032076835632324,0.21847820261100973,1771519809.803912,1771520241.8131793,432.0092673301697,5000,1000,406.2995386123657
1794,long,5000,1000,0.18187858610554367,0.4004693031311035,0.21859071702555985,1771519809.8040605,1771520230.0409472,420.23688673973083,5000,1000,397.78108525276184
1795,long,5000,1000,0.1819068363335742,0.4006211757659912,0.218714339432417,1771519809.8042123,1771520230.3140976,420.5098853111267,5000,1000,397.9180529117584
1796,short,5000,1211,0.18195237982446444,0.40076613426208496,0.21881375443762052,1771519809.8043573,1771520241.0734591,431.26910185813904,5000,1211,408.52420020103455
1797,short,5000,1211,0.18215311929085135,0.4009103775024414,0.21875725821159006,1771519809.8045015,1771520241.3096268,431.50512528419495,5000,1211,408.5834593772888
1798,long,5000,1000,0.1821657471043863,0.40105557441711426,0.21888982731272796,1771519809.8046467,1771520231.5044863,421.69983959198,5000,1000,398.62004113197327
1799,short,5000,1211,0.18221277022683713,0.401200532913208,0.21898776268637088,1771519809.8047917,1771520241.561982,431.75719022750854,5000,1211,408.5528898239136
1800,short,5000,1211,0.18224278511060327,0.40134692192077637,0.2191041368101731,1771519809.804938,1771520241.750321,431.94538283348083,5000,1211,408.5946388244629
1801,long,5000,1000,0.18250626106052548,0.4014928340911865,0.21898657303066105,1771519809.805084,1771520232.2579913,422.4529073238373,5000,1000,398.94181084632874
1802,long,5000,1000,0.18255429646219548,0.4016377925872803,0.2190834961250848,1771519809.805229,1771520232.456741,422.6515121459961,5000,1000,398.9561676979065
1803,short,5000,1211,0.18260306252803574,0.40183210372924805,0.2192290412012123,1771519809.8054233,1771520244.152831,434.3474078178406,5000,1211,410.56140899658203
1804,long,5000,1000,0.1826952807849634,0.4019808769226074,0.21928559613764403,1771519809.805572,1771520237.4864676,427.6808955669403,5000,1000,403.7477502822876
1805,long,5000,1000,0.18306267779905894,0.4021267890930176,0.21906411129395864,1771519809.805718,1771520238.49369,428.6879720687866,5000,1000,404.60230708122253
1806,long,5000,1000,0.18332663052278836,0.40227293968200684,0.21894630915921848,1771519809.805864,1771520238.8768835,429.07101941108704,5000,1000,404.8234667778015
1807,short,5000,1211,0.18343518736067319,0.4024214744567871,0.21898628709611392,1771519809.8060126,1771520245.3311782,435.5251655578613,5000,1211,411.12444281578064
1808,long,5000,1000,0.1834829113517791,0.40258002281188965,0.21909711146011054,1771519809.8061712,1771520239.7091427,429.9029715061188,5000,1000,405.36023020744324
1809,short,5000,1211,0.1835843662700676,0.4027228355407715,0.21913846927070388,1771519809.806314,1771520245.7078316,435.9015176296234,5000,1211,411.2258162498474
1810,short,5000,1211,0.18362203724279963,0.40287017822265625,0.21924814097985662,1771519809.8064613,1771520245.7729945,435.9665331840515,5000,1211,411.12673234939575
1811,long,5000,1000,0.18366140065269312,0.4030129909515381,0.21935159029884496,1771519809.8066041,1771520241.1364582,431.32985401153564,5000,1000,406.3618266582489
1812,short,5000,1211,0.1836856125371454,0.40316033363342285,0.21947472109627744,1771519809.8067515,1771520245.9187891,436.1120376586914,5000,1211,410.97247552871704
1813,short,5000,1211,0.18368932491462756,0.40331029891967773,0.21962097400505018,1771519809.8069015,1771520245.954617,436.1477155685425,5000,1211,410.86960768699646
1814,long,5000,1000,0.1838034025827068,0.40351009368896484,0.21970669110625804,1771519809.8071012,1771520241.6059275,431.79882621765137,5000,1000,406.37258672714233
1815,long,5000,1000,0.18387403835270713,0.4036579132080078,0.21978387485530068,1771519809.807249,1771520241.73035,431.92310094833374,5000,1000,406.32971453666687
1816,long,5000,1000,0.18404053031420076,0.40379953384399414,0.21975900352979338,1771519809.8073907,1771520241.8157885,432.0083978176117,5000,1000,406.2874126434326
1817,short,5000,1211,0.18418070262016625,0.403947114944458,0.21976641232429175,1771519809.8075383,1771519871.0302737,61.22273540496826,5000,1211,60.53692650794983
1818,short,5000,1211,0.1842057588289355,0.4041013717651367,0.21989561293620122,1771519809.8076925,1771519871.0290513,61.22135877609253,5000,1211,60.45356297492981
1819,long,5000,1000,0.1842740490404201,0.40424489974975586,0.21997085070933575,1771519809.807836,1771519858.809224,49.00138783454895,5000,1000,48.17926597595215
1820,short,5000,1211,0.18437760696270913,0.4043924808502197,0.2200148738875106,1771519809.8079836,1771519873.1174788,63.30949521064758,5000,1211,62.37737822532654
1821,short,5000,1211,0.1844416632284297,0.4045383930206299,0.22009672979220019,1771519809.8081295,1771519873.5630147,63.75488519668579,5000,1211,62.76433491706848
1822,short,5000,1211,0.1846032303315111,0.40468478202819824,0.22008155169668714,1771519809.808276,1771519874.61394,64.8056640625,5000,1211,63.72783398628235
1823,long,5000,1000,0.1846872718554416,0.40483808517456055,0.22015081331911895,1771519809.8084292,1771519861.0270355,51.2186062335968,5000,1000,50.05317783355713
1824,short,5000,1211,0.1848140080583083,0.4049832820892334,0.2201692740309251,1771519809.8085744,1771519876.1776252,66.36905074119568,5000,1211,65.1124587059021
1825,long,5000,1000,0.18488955228641657,0.4051241874694824,0.22023463518306585,1771519809.8087153,1771519861.8101816,52.001466274261475,5000,1000,50.656519412994385
1826,short,5000,1211,0.18516809589679278,0.4053189754486084,0.22015087955181561,1771519809.8089101,1771519877.0529087,67.24399852752686,5000,1211,65.82198119163513
1827,long,5000,1000,0.18517591236233366,0.4054708480834961,0.22029493572116243,1771519809.809062,1771519862.4903412,52.68127918243408,5000,1000,51.17626595497131
1828,long,5000,1000,0.18521080009643148,0.405620813369751,0.2204100132733195,1771519809.809212,1771519862.9301238,53.120911836624146,5000,1000,51.525490283966064
1829,short,5000,1211,0.18521433640229368,0.40577077865600586,0.22055644225371218,1771519809.809362,1771519878.301519,68.49215698242188,5000,1211,66.81483793258667
1830,short,5000,1211,0.18521654774822002,0.4059162139892578,0.2206996662410378,1771519809.8095074,1771519878.6459093,68.83640193939209,5000,1211,67.06313228607178
1831,short,5000,1211,0.1852459893623575,0.40605783462524414,0.22081184526288664,1771519809.809649,1771519879.1416306,69.33198165893555,5000,1211,67.45815420150757
1832,long,5000,1000,0.18533461500016477,0.4062063694000244,0.22087175439985965,1771519809.8097975,1771519864.1814759,54.37167835235596,5000,1000,52.41120886802673
1833,long,5000,1000,0.18533649008659767,0.4063549041748047,0.22101841408820702,1771519809.809946,1771519864.4792202,54.66927409172058,5000,1000,52.62176990509033
1834,long,5000,1000,0.18539314282006925,0.4065108299255371,0.22111768710546786,1771519809.810102,1771519864.6961136,54.886011600494385,5000,1000,52.76886796951294
1835,long,5000,1000,0.1856524055571915,0.4066591262817383,0.22100672072454677,1771519809.8102503,1771519864.879296,55.06904578208923,5000,1000,52.844791650772095
1836,short,5000,1211,0.18570654366812814,0.4067997932434082,0.22109324957528007,1771519809.810391,1771519880.4795496,70.6691586971283,5000,1211,68.35260438919067
1837,short,5000,1211,0.18612066393853877,0.40699243545532227,0.2208717715167835,1771519809.8105836,1771519880.7522907,70.94170713424683,5000,1211,68.53596305847168
1838,short,5000,1211,0.18630263280057807,0.4071488380432129,0.22084620524263482,1771519809.81074,1771519881.0186205,71.20788049697876,5000,1211,68.72407650947571
1839,short,5000,1211,0.18648614954427914,0.40729761123657227,0.22081146169229313,1771519809.8108888,1771519881.2872264,71.47633767127991,5000,1211,68.91292595863342
1840,long,5000,1000,0.18661337264536873,0.40744757652282715,0.22083420387745842,1771519809.8110387,1771519937.8789568,128.06791806221008,5000,1000,121.93854331970215
1841,long,5000,1000,0.18663426218731094,0.407595157623291,0.22096089543598008,1771519809.8111863,1771519938.5276783,128.71649193763733,5000,1000,122.48068761825562
1842,short,5000,1211,0.18670489639016064,0.40773963928222656,0.22103474289206593,1771519809.8113308,1771519955.6955397,145.8842089176178,5000,1211,139.55316257476807
1843,long,5000,1000,0.18673692603865522,0.40788888931274414,0.22115196327408893,1771519809.81148,1771519939.8743842,130.06290411949158,5000,1000,123.6356291770935
1844,short,5000,1211,0.18674346079588836,0.4080328941345215,0.22128943333863313,1771519809.811624,1771519956.8274896,147.0158655643463,5000,1211,140.47870564460754
1845,long,5000,1000,0.18705888460243555,0.4081730842590332,0.22111419965659765,1771519809.8117642,1771519940.9571211,131.14535689353943,5000,1000,124.51941132545471
1846,long,5000,1000,0.18710452477468786,0.4083230495452881,0.22121852477060022,1771519809.8119142,1771519941.537936,131.7260217666626,5000,1000,124.99325966835022
1847,short,5000,1211,0.1872351027080426,0.40846920013427734,0.22123409742623473,1771519809.8120604,1771519957.9932609,148.18120050430298,5000,1211,141.33417582511902
1848,long,5000,1000,0.18726649915715737,0.4086191654205322,0.22135266626337485,1771519809.8122103,1771519942.9395387,133.1273283958435,5000,1000,126.18395924568176
1849,short,5000,1211,0.1873436246349119,0.4088113307952881,0.2214677061603762,1771519809.8124025,1771519959.9538982,150.14149570465088,5000,1211,143.1005516052246
1850,short,5000,1211,0.18744024679477747,0.40896034240722656,0.2215200956124491,1771519809.8125515,1771519960.2304888,150.41793727874756,5000,1211,143.26775193214417
1851,long,5000,1000,0.187530653893671,0.40910959243774414,0.22157893854407315,1771519809.8127007,1771519944.0840406,134.27133989334106,5000,1000,127.02040767669678
1852,short,5000,1211,0.187586590181302,0.4092576503753662,0.2216710601940642,1771519809.8128488,1771519960.7681234,150.95527458190918,5000,1211,143.60188937187195
1853,short,5000,1211,0.1875962111141604,0.4094071388244629,0.2218109277103025,1771519809.8129983,1771519961.1372008,151.32420253753662,5000,1211,143.86299777030945
1854,short,5000,1211,0.18763258345517025,0.4095571041107178,0.22192452065554752,1771519809.8131483,1771519961.431629,151.61848068237305,5000,1211,144.05387687683105
1855,long,5000,1000,0.18772206886110393,0.4096994400024414,0.22197737114133748,1771519809.8132906,1771519945.22261,135.40931940078735,5000,1000,127.774498462677
1856,long,5000,1000,0.1877637259412306,0.4098494052886963,0.22208567934746568,1771519809.8134406,1771519945.6884863,135.8750457763672,5000,1000,128.1186444759369
1857,long,5000,1000,0.1878515462153352,0.40999388694763184,0.22214234073229663,1771519809.813585,1771519945.824833,136.01124787330627,5000,1000,128.15021634101868
1858,short,5000,1211,0.18790049127325506,0.41014814376831055,0.2222476524950555,1771519809.8137393,1771519962.4087577,152.59501838684082,5000,1211,144.61869740486145
1859,short,5000,1211,0.18791777692838943,0.4102921485900879,0.22237437166169846,1771519809.8138833,1771519962.4074926,152.59360933303833,5000,1211,144.52303886413574
1860,short,5000,1211,0.18810261737218645,0.4104883670806885,0.22238574970850203,1771519809.8140795,1771519964.666789,154.85270953178406,5000,1211,146.70888900756836
1861,long,5000,1000,0.188157848890314,0.41063427925109863,0.22247643036078463,1771519809.8142254,1771519951.1696136,141.35538816452026,5000,1000,133.1001636981964
1862,short,5000,1211,0.18815891737890653,0.41078615188598633,0.2226272345070798,1771519809.8143773,1771519968.5904553,158.77607798576355,5000,1211,150.4221956729889
1863,short,5000,1211,0.18825754583029156,0.4109370708465576,0.22267952501626606,1771519809.8145282,1771519871.0284207,61.213892459869385,5000,1211,60.405884742736816
1864,long,5000,1000,0.18831943775735324,0.4110829830169678,0.22276354525961453,1771519809.8146741,1771519861.2407806,51.426106452941895,5000,1000,50.21459722518921
1865,long,5000,1000,0.1883204864245201,0.41123032569885254,0.22290983927433244,1771519809.8148215,1771519863.2744956,53.45967411994934,5000,1000,51.77568507194519
1866,short,5000,1211,0.18832567626868238,0.4113759994506836,0.22305032318200121,1771519809.8149672,1771519879.9751658,70.16019868850708,5000,1211,68.03519463539124
1867,short,5000,1211,0.18841358596422694,0.41152477264404297,0.22311118667981603,1771519809.815116,1771519881.2886572,71.47354125976562,5000,1211,68.90083265304565
1868,long,5000,1000,0.1886067370378856,0.41167616844177246,0.22306943140388685,1771519809.8152673,1771519867.1258934,57.31062602996826,5000,1000,54.14423894882202
1869,long,5000,1000,0.18861392701334792,0.4118189811706543,0.22320505415730638,1771519809.8154101,1771519868.7929559,58.977545738220215,5000,1000,54.84669733047485
1870,short,5000,1211,0.18866749876155467,0.41196370124816895,0.22329620248661428,1771519809.8155549,1771519885.8243587,76.0088038444519,5000,1211,71.17808294296265
1871,short,5000,1211,0.18873801306947577,0.4121079444885254,0.22336993141904962,1771519809.815699,1771519886.706353,76.89065384864807,5000,1211,71.37501811981201
