Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,throughput,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
10,5.272687388430182,0.021090749553720728,5.26851242602126,0.02107404970408504,5.26851242602126,0.02107404970408504,0.0,0.004174962408922178,5.26851242602126,0.02107404970408504,0.022960353490745697,0.01878539108182352,0.0003130898513637253,0.020998908139757744,,0.018148332438992193,310,60,250,0.24,0
11,0.7552512644937274,0.015105025289874547,0.7536367000861276,0.015072734001722552,0.7536367000861276,0.015072734001722552,0.0,0.001614564407599911,0.7536367000861276,0.015072734001722552,0.02039995548942343,0.01878539108182352,0.0003130898513637253,0.01469702618008608,,0.002560398001322267,110,60,50,1.2,0
12,9.163410097467455,0.02290852524366864,9.149227853036836,0.02287306963259209,9.149227853036836,0.02287306963259209,0.0,0.014182244430619134,9.149227853036836,0.02287306963259209,0.032998329912442656,0.018816085481823522,0.0003136014246970587,0.022826029418887533,,0.0062177110588042955,460,60,400,0.15,0
13,0.7601209829000196,0.015202419658000392,0.7474799306663041,0.014949598613326082,0.7474799306663041,0.014949598613326082,0.0,0.01264105223371563,0.7474799306663041,0.014949598613326082,0.03145713771553915,0.018816085481823522,0.0003136014246970587,0.014573276903689609,,0.0015411921969035042,110,60,50,1.2,0
14,6.584211062677051,0.021947370208923504,6.566778916885089,0.02188926305628363,6.566778916885089,0.02188926305628363,0.0,0.01743214579196317,6.566778916885089,0.02188926305628363,0.030765962388403484,0.013333816596440312,0.00022223027660733853,0.02184481700096216,,0.01402499192357598,360,60,300,0.2,0
15,5.313590823002996,0.021254363292011982,5.302648200469839,0.02121059280187936,5.302648200469839,0.02121059280187936,0.0,0.010942622533157004,5.302648200469839,0.02121059280187936,0.02428190905684255,0.013339286523685545,0.00022232144206142576,0.021157235655784614,,0.01982333985524648,310,60,250,0.24,0
16,2.759607684978024,0.01839738456652016,2.7577564705944453,0.018385043137296303,2.7577564705944453,0.018385043137296303,0.0,0.0018512143835803518,2.7577564705944453,0.018385043137296303,0.01531861611584634,0.013467401732265988,0.00022445669553776645,0.018295260459081183,,0.0547911391771215,210,60,150,0.4,0
17,1.7197412645412884,0.017197412645412885,1.716590114266147,0.01716590114266147,1.716590114266147,0.01716590114266147,0.0,0.0031511502751420395,1.716590114266147,0.01716590114266147,0.01660417393598501,0.013453023660842972,0.00022421706101404952,0.017031370906053035,,0.0121674658407043,160,60,100,0.6,0
18,5.379678070266604,0.021518712281066416,5.377675353984057,0.02151070141593623,5.377675353984057,0.02151070141593623,0.0,0.0020027162825479172,5.377675353984057,0.02151070141593623,0.015451372150229042,0.013448655867681125,0.00022414426446135208,0.021456906792465504,,0.014601457653437094,310,60,250,0.24,0
19,6.679675950368006,0.022265586501226686,6.677273304601851,0.02225757768200617,6.677273304601851,0.02225757768200617,0.0,0.00240264576615562,6.677273304601851,0.02225757768200617,0.021522709240817145,0.019120063474661525,0.0003186677245776921,0.02219384413709063,,0.013048726384073422,360,60,300,0.2,0
