,Time (sec),throughput
242,3.538480087023565,2845
243,3.5524348127678653,2864
244,3.5663895385121656,2883
245,3.580344264256466,2902
246,3.594298990000766,2921
247,3.6082537157450663,2940
248,3.6222084414893665,2959
249,3.6361631672336667,2978
250,3.6642295464495973,2999
251,3.6925957315321947,3020
252,3.7213654259481252,3041
253,3.7592619968549963,3063
254,3.782922367203048,3085
255,3.807069702884433,3107
256,3.836271431433697,3130
257,3.8601918977817493,3153
258,3.8845993294631347,3176
259,3.9140611540123986,3200
260,3.9380387083604504,3224
261,3.9625032280418355,3248
262,3.987268367913697,3272
263,4.011247259861749,3297
264,4.035353198209801,3322
265,4.059946101891186,3347
266,4.08959339844045,3373
267,4.113905666693264,3399
268,4.138704900279412,3425
269,4.163804754056035,3451
270,4.179436150814476,3477
271,4.1950675475729176,3503
272,4.210698944331359,3529
273,4.2263303410898,3555
274,4.241961737848241,3581
275,4.257593134606682,3607
276,4.273224531365123,3633
277,4.2888559281235645,3659
278,4.304487324882006,3685
279,4.320118721640447,3711
280,4.335750118398888,3737
281,4.351381515157329,3763
282,4.36701291191577,3789
283,4.3826443086742115,3815
284,4.398275705432653,3841
285,4.413907102191094,3867
286,4.429538498949535,3893
287,4.445169895707976,3919
288,4.460801292466417,3945
289,4.4764326892248585,3971
290,4.4920640859833,3997
291,4.507695482741741,4023
292,4.523326879500182,4049
293,4.538958276258623,4075
294,4.554589673017064,4101
295,4.5702210697755055,4127
296,4.585852466533947,4153
297,4.601483863292388,4179
298,4.617115260050829,4205
299,4.63274665680927,4231
300,4.648378053567711,4257
301,4.664009450326152,4283
302,4.679640847084594,4309
303,4.695272243843035,4335
304,4.710903640601476,4361
305,4.726535037359917,4387
306,4.742166434118358,4413
307,4.766487847971172,4440
308,4.790936308223986,4467
309,4.815871733810133,4494
310,4.841107779586756,4521
311,4.856944104345198,4548
312,4.872780429103639,4575
313,4.888616753862081,4602
314,4.904453078620523,4629
315,4.920289403378964,4656
316,4.936125728137406,4683
317,4.951962052895848,4710
318,4.967798377654289,4737
319,4.992324719507103,4765
320,5.0169781077599165,4793
321,5.042118461346064,4821
322,5.067559435122687,4849
323,5.083754543881129,4877
324,5.099949652639571,4905
325,5.116144761398013,4933
326,5.132339870156455,4961
327,5.148534978914897,4989
328,5.164730087673339,5017
329,5.180925196431781,5045
330,5.197120305190223,5073
331,5.213315413948665,5101
332,5.229510522707107,5129
333,5.245705631465549,5157
334,5.261900740223991,5185
335,5.278095848982433,5213
336,5.294290957740875,5241
337,5.319176083593689,5270
338,5.344188255846503,5299
339,5.36968739343265,5328
340,5.395487151209274,5357
341,5.411929811967715,5386
342,5.437062489820529,5416
343,5.4623222140733425,5446
344,5.48806890365949,5476
345,5.514116213436113,5506
346,5.5306576901945546,5536
347,5.547199166952996,5566
348,5.563740643711438,5596
349,5.58028212046988,5626
350,5.596823597228322,5656
351,5.613365073986763,5686
352,5.629906550745205,5716
353,5.646448027503647,5746
354,5.662989504262089,5776
355,5.67953098102053,5806
356,5.704762474873344,5837
357,5.730121015126158,5868
358,5.755966520712305,5899
359,5.782906886488928,5930
360,5.79958980324737,5961
361,5.816272720005812,5992
362,5.832955636764254,6023
363,5.849638553522696,6054
364,5.866321470281138,6085
365,5.883771491039579,6116
366,5.9012215117980205,6147
367,5.918671532556462,6178
368,5.936121553314903,6209
369,5.953571574073345,6240
370,5.971021594831786,6271
371,5.9971616326846,6303
372,6.023428716937413,6335
373,6.050182766523561,6367
374,6.077237436300184,6399
375,6.094919905058625,6431
376,6.112602373817067,6463
377,6.1302848425755085,6495
378,6.14796731133395,6527
379,6.165649780092392,6559
380,6.183332248850833,6591
381,6.201014717609275,6623
382,6.2186971863677165,6655
383,6.236379655126158,6687
384,6.2540621238846,6719
