,Batch Id,batch_total_kv_tokens
683,683,54024
684,684,54088
685,685,54152
686,686,54216
687,687,54280
688,688,54344
689,689,54664
690,690,54984
691,691,55304
692,692,55626
693,693,55692
694,694,55758
695,695,55824
696,696,55890
697,697,55956
698,698,56022
699,699,56088
700,700,56154
701,701,56220
702,702,56286
703,703,56352
704,704,56418
705,705,56484
706,706,56550
707,707,56616
708,708,56682
709,709,56748
710,710,56814
711,711,56880
712,712,56946
713,713,57012
714,714,57206
715,715,57400
716,716,57594
717,717,57789
718,718,57984
719,719,58179
720,720,58374
721,721,58570
722,722,58638
723,723,58706
724,724,58774
725,725,58842
726,726,58910
727,727,58978
728,728,59046
729,729,59114
730,730,59310
731,731,59634
732,732,59958
733,733,60283
734,734,60481
735,735,60551
736,736,60749
737,737,60947
738,738,61145
739,739,61344
740,740,61415
741,741,61486
742,742,61557
743,743,61628
744,744,61699
745,745,61770
746,746,61841
747,747,61912
748,748,61983
749,749,62054
750,750,62125
751,751,62196
752,752,62267
753,753,62466
754,754,62793
755,755,63120
756,756,63448
757,757,63649
758,758,63722
759,759,63795
760,760,63868
761,761,63941
762,762,64014
763,763,64087
764,764,64288
765,765,64489
766,766,64818
767,767,65148
768,768,65350
769,769,65553
770,770,65628
771,771,65703
772,772,65778
773,773,65853
774,774,66056
775,775,66259
776,776,66462
777,777,66666
778,778,66742
779,779,66946
780,780,67150
781,781,67482
782,782,67815
783,783,68020
784,784,68226
785,785,68304
786,786,68510
787,787,68716
788,788,69050
789,789,69385
790,790,69592
791,791,69800
792,792,69880
793,793,69960
794,794,70168
795,795,70376
796,796,70584
797,797,70793
798,798,70874
799,799,70955
800,800,71036
801,801,71117
802,802,71198
803,803,71279
804,804,71360
805,805,71441
806,806,71522
807,807,71603
808,808,71684
809,809,71765
810,810,71846
811,811,71927
812,812,72264
813,813,72601
814,814,72938
815,815,73277
816,816,73360
817,817,73443
818,818,73526
819,819,73737
820,820,74076
821,821,74415
822,822,74755
823,823,74968
824,824,75053
825,825,75266
826,826,75479
827,827,75692
828,828,75906
829,829,75992
830,830,76078
831,831,76164
832,832,76250
833,833,76336
834,834,76422
835,835,76508
836,836,76722
837,837,77064
838,838,77406
839,839,77749
840,840,78093
841,841,78309
842,842,78525
843,843,78742
844,844,78959
845,845,79176
846,846,79393
847,847,79611
848,848,79701
849,849,79791
850,850,79881
851,851,80099
852,852,80445
853,853,80791
854,854,81266
855,855,81742
856,856,82090
857,857,82439
858,858,82789
859,859,83011
860,860,83361
861,861,83712
862,862,83935
863,863,84159
864,864,84255
865,865,84351
866,866,84447
867,867,84543
868,868,84639
869,869,84735
870,870,84831
871,871,84927
872,872,85023
873,873,85119
874,874,85215
875,875,85311
876,876,85407
877,877,85631
878,878,85855
879,879,86079
880,880,86304
881,881,86401
882,882,86498
883,883,86595
884,884,86692
885,885,86789
886,886,86886
887,887,86983
888,888,87080
889,889,87177
890,890,87530
891,891,87883
892,892,88236
893,893,88591
894,894,88690
895,895,88789
896,896,88888
897,897,88987
898,898,89086
899,899,89185
900,900,89284
901,901,89511
902,902,89738
903,903,89965
904,904,90193
905,905,90293
906,906,90393
907,907,90493
908,908,90593
909,909,90693
910,910,90793
911,911,90893
912,912,90993
913,913,91093
914,914,91193
915,915,91293
916,916,91393
917,917,91621
918,918,91977
919,919,92461
920,920,93074
921,921,93560
922,922,93919
923,923,94151
924,924,94255
925,925,94359
926,926,94463
927,927,94567
928,928,94671
929,929,94775
930,930,94879
931,931,94983
932,932,95087
933,933,95191
934,934,95295
935,935,95399
936,936,95503
937,937,95607
938,938,95711
939,939,95815
940,940,95919
941,941,96023
942,942,96127
943,943,96231
944,944,96463
945,945,96695
946,946,96927
947,947,97160
948,948,97265
949,949,97370
950,950,97475
951,951,97580
952,952,97685
953,953,97918
954,954,98151
955,955,98384
956,956,98746
957,957,98980
958,958,99214
959,959,99449
960,960,99556
961,961,99663
962,962,99770
963,963,99877
964,964,99984
965,965,100091
966,966,100198
967,967,100305
968,968,100412
969,969,100519
970,970,100626
971,971,100733
972,972,100840
973,973,100947
974,974,101054
975,975,101161
976,976,101268
977,977,101375
978,978,101482
979,979,101589
980,980,101696
981,981,101803
982,982,101910
983,983,102017
984,984,102124
985,985,102231
986,986,102338
987,987,102445
988,988,102552
989,989,102787
990,990,103022
991,991,103257
992,992,103493
993,993,103601
994,994,103709
995,995,103817
996,996,104053
997,997,104289
998,998,104653
999,999,105018
1000,1000,105255
1001,1001,105493
1002,1002,105731
1003,1003,104456
1004,1004,104693
1005,1005,104931
1006,1006,105041
1007,1007,105151
1008,1008,103748
1009,1009,103857
1010,1010,104094
1011,1011,104331
1012,1012,104568
1013,1013,104806
1014,1014,105044
1015,1015,105282
1016,1016,105520
1017,1017,105759
1018,1018,105870
1019,1019,105981
1020,1020,106092
1021,1021,106203
1022,1022,106314
1023,1023,106425
1024,1024,106536
1025,1025,106775
1026,1026,107014
1027,1027,107253
1028,1028,107493
1029,1029,107605
1030,1030,107717
1031,1031,107829
1032,1032,107941
1033,1033,108053
1034,1034,106652
1035,1035,106763
1036,1036,103848
1037,1037,103957
1038,1038,104066
1039,1039,104175
1040,1040,104284
1041,1041,104393
1042,1042,104502
1043,1043,104611
1044,1044,104848
1045,1045,105213
1046,1046,104065
1047,1047,104430
1048,1048,104668
1049,1049,103265
1050,1050,103374
1051,1051,103611
1052,1052,103976
1053,1053,104469
1054,1054,104963
1055,1055,105330
1056,1056,105570
1057,1057,105682
1058,1058,105922
1059,1059,106162
1060,1060,106402
1061,1061,106643
1062,1062,106884
1063,1063,107125
1064,1064,105853
1065,1065,106094
1066,1066,106207
1067,1067,106320
1068,1068,106433
1069,1069,106546
1070,1070,106659
1071,1071,106772
1072,1072,106885
1073,1073,106998
1074,1074,107111
1075,1075,107224
1076,1076,107337
1077,1077,107450
1078,1078,107691
1079,1079,107932
1080,1080,108173
1081,1081,105389
1082,1082,105501
1083,1083,105613
1084,1084,105725
1085,1085,105965
1086,1086,106205
1087,1087,106573
1088,1088,106942
1089,1089,107311
1090,1090,107681
1091,1091,107923
1092,1092,108166
1093,1093,108281
1094,1094,108396
1095,1095,108511
1096,1096,108754
1097,1097,108997
1098,1098,109240
1099,1099,109484
1100,1100,109728
1101,1101,109972
1102,1102,108703
1103,1103,108947
1104,1104,107550
1105,1105,107665
1106,1106,107780
1107,1107,107895
1108,1108,108010
1109,1109,106612
1110,1110,105213
1111,1111,105326
1112,1112,105439
1113,1113,105552
1114,1114,105665
1115,1115,105778
1116,1116,105891
1117,1117,106004
1118,1118,106117
1119,1119,106230
1120,1120,106343
1121,1121,106456
1122,1122,106569
1123,1123,106682
1124,1124,106795
1125,1125,105395
1126,1126,105507
1127,1127,105619
1128,1128,105731
1129,1129,105843
1130,1130,105955
1131,1131,106067
1132,1132,106307
1133,1133,106675
1134,1134,107043
1135,1135,107412
1136,1136,107654
1137,1137,107768
1138,1138,107882
1139,1139,107996
1140,1140,108110
1141,1141,108224
1142,1142,108338
1143,1143,108452
1144,1144,108566
1145,1145,108680
1146,1146,108794
1147,1147,107395
1148,1148,107636
1149,1149,107877
1150,1150,108118
1151,1151,108360
1152,1152,108474
1153,1153,108588
1154,1154,108702
1155,1155,108816
1156,1156,108930
1157,1157,109044
1158,1158,109158
1159,1159,109272
1160,1160,109514
1161,1161,109884
1162,1162,110254
1163,1163,110625
1164,1164,110869
1165,1165,110985
1166,1166,111101
1167,1167,111345
1168,1168,111589
1169,1169,111833
1170,1170,112078
1171,1171,112195
1172,1172,112312
1173,1173,112429
1174,1174,112546
1175,1175,112663
1176,1176,112780
1177,1177,112897
1178,1178,113014
1179,1179,113131
1180,1180,113248
1181,1181,113365
1182,1182,113482
1183,1183,113599
1184,1184,113716
1185,1185,113833
1186,1186,113950
1187,1187,114067
1188,1188,114184
1189,1189,114301
1190,1190,114418
1191,1191,114791
1192,1192,115164
1193,1193,115665
1194,1194,116168
1195,1195,116415
1196,1196,116663
1197,1197,116783
1198,1198,116903
1199,1199,117023
1200,1200,117143
1201,1201,117263
1202,1202,117383
1203,1203,117503
1204,1204,117623
1205,1205,117743
1206,1206,117863
1207,1207,117983
1208,1208,118103
1209,1209,118223
1210,1210,118343
1211,1211,118463
1212,1212,117198
1213,1213,117445
1214,1214,117692
1215,1215,117940
1216,1216,118060
1217,1217,118180
1218,1218,118300
1219,1219,118420
1220,1220,118540
1221,1221,118660
1222,1222,118780
1223,1223,118900
1224,1224,117635
1225,1225,117882
1226,1226,118129
1227,1227,118377
1228,1228,118497
1229,1229,118617
1230,1230,118737
1231,1231,118857
1232,1232,118977
1233,1233,119097
1234,1234,119217
1235,1235,119337
1236,1236,119457
1237,1237,119577
1238,1238,119697
1239,1239,118432
1240,1240,118679
1241,1241,118926
1242,1242,119174
1243,1243,119294
1244,1244,119414
1245,1245,119534
1246,1246,119654
1247,1247,119774
1248,1248,119894
1249,1249,120014
1250,1250,120134
1251,1251,120254
1252,1252,117604
1253,1253,117978
1254,1254,118352
1255,1255,117343
1256,1256,117590
1257,1257,117837
1258,1258,116700
1259,1259,116947
1260,1260,117194
1261,1261,116057
1262,1262,116304
1263,1263,116551
1264,1264,116799
1265,1265,115534
1266,1266,115781
1267,1267,116028
1268,1268,114891
1269,1269,115138
1270,1270,115385
1271,1271,115633
1272,1272,115753
1273,1273,115873
1274,1274,115993
1275,1275,116113
1276,1276,116233
1277,1277,116353
1278,1278,116473
1279,1279,116593
1280,1280,116713
1281,1281,116833
1282,1282,116953
1283,1283,117073
1284,1284,117193
1285,1285,117313
1286,1286,117433
1287,1287,117553
1288,1288,117673
1289,1289,117793
1290,1290,117913
1291,1291,118033
1292,1292,118153
1293,1293,118273
1294,1294,118393
1295,1295,118513
1296,1296,118633
1297,1297,118753
1298,1298,118873
1299,1299,118993
1300,1300,119113
1301,1301,119233
1302,1302,119353
1303,1303,119473
1304,1304,119593
1305,1305,119713
1306,1306,119833
1307,1307,119953
1308,1308,120073
1309,1309,118808
1310,1310,119055
1311,1311,119302
1312,1312,119550
1313,1313,119670
1314,1314,119790
1315,1315,119910
1316,1316,120030
1317,1317,120150
1318,1318,120270
1319,1319,120390
1320,1320,120510
1321,1321,119245
1322,1322,119492
1323,1323,119739
1324,1324,119987
1325,1325,120107
1326,1326,120227
1327,1327,120347
1328,1328,120467
1329,1329,120587
1330,1330,120707
1331,1331,120827
1332,1332,120947
1333,1333,121067
1334,1334,19229
