batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
73,1778153398.6976671,decode,241,1945352,0.9969793660051065,1945111,241,684.6993759666418,19757,0,241,1944870,1945111,1945111,0.9968558551817659,2,19759,0,0,0,0.0
74,1778153398.7418265,decode,241,1945593,0.997102876828447,1945352,241,684.6993759666418,19757,0,241,1945111,1945352,1945352,0.9969793660051065,2,19759,0,0,0,0.0
75,1778153398.7834973,decode,241,1945834,0.9972263876517876,1945593,241,684.6993759666418,19757,0,241,1945352,1945593,1945593,0.997102876828447,2,19759,0,0,0,0.0
76,1778153398.8264878,decode,241,1946075,0.9973498984751282,1945834,241,684.6993759666418,19757,0,241,1945593,1945834,1945834,0.9972263876517876,2,19759,0,0,0,0.0
77,1778153398.8694239,decode,241,1946316,0.9974734092984687,1946075,241,684.6993759666418,19757,0,241,1945834,1946075,1946075,0.9973498984751282,2,19759,0,0,0,0.0
78,1778153398.9107814,decode,241,1946557,0.9975969201218093,1946316,241,684.6993759666418,19757,0,241,1946075,1946316,1946316,0.9974734092984687,2,19759,0,0,0,0.0
79,1778153398.9536397,decode,241,1946798,0.99772043094515,1946557,241,684.6993759666418,19757,0,241,1946316,1946557,1946557,0.9975969201218093,2,19759,0,0,0,0.0
80,1778153398.9964106,decode,241,1947039,0.9978439417684904,1946798,241,684.6993759666418,19757,0,241,1946557,1946798,1946798,0.99772043094515,2,19759,0,0,0,0.0
81,1778153399.0389068,decode,241,1947280,0.9979674525918311,1947039,241,684.6993759666418,19757,0,241,1946798,1947039,1947039,0.9978439417684904,2,19759,0,0,0,0.0
82,1778153399.0838323,decode,241,1947521,0.9980909634151717,1947280,241,5354.585316512727,19757,0,241,1947039,1947280,1947280,0.9979674525918311,2,19759,0,0,0,0.0
83,1778153399.1250253,decode,241,1947762,0.9982144742385122,1947521,241,5354.585316512727,19757,0,241,1947280,1947521,1947521,0.9980909634151717,2,19759,0,0,0,0.0
84,1778153399.1679974,decode,241,1948003,0.9983379850618528,1947762,241,5354.585316512727,19757,0,241,1947521,1947762,1947762,0.9982144742385122,2,19759,0,0,0,0.0
85,1778153399.2103343,decode,241,1948244,0.9984614958851934,1948003,241,5354.585316512727,19757,0,241,1947762,1948003,1948003,0.9983379850618528,2,19759,0,0,0,0.0
86,1778153399.2526615,decode,241,1948485,0.9985850067085339,1948244,241,5354.585316512727,19757,0,241,1948003,1948244,1948244,0.9984614958851934,2,19759,0,0,0,0.0
87,1778153399.2953494,decode,241,1948726,0.9987085175318745,1948485,241,5354.585316512727,19757,0,241,1948244,1948485,1948485,0.9985850067085339,2,19759,0,0,0,0.0
88,1778153399.342432,decode,241,1948967,0.9988320283552151,1948726,241,5354.585316512727,19757,0,241,1948485,1948726,1948726,0.9987085175318745,2,19759,0,0,0,0.0
89,1778153399.3817444,decode,241,1949208,0.9989555391785556,1948967,241,5354.585316512727,19757,0,241,1948726,1948967,1948967,0.9988320283552151,2,19759,0,0,0,0.0
90,1778153399.423684,decode,241,1949449,0.9990790500018962,1949208,241,5354.585316512727,19757,0,241,1948967,1949208,1949208,0.9989555391785556,2,19759,0,0,0,0.0
91,1778153399.4672372,decode,241,1949690,0.9992025608252368,1949449,241,5354.585316512727,19757,0,241,1949208,1949449,1949449,0.9990790500018962,2,19759,0,0,0,0.0
92,1778153399.5094783,decode,241,1949931,0.9993260716485773,1949690,241,5354.585316512727,19757,0,241,1949449,1949690,1949690,0.9992025608252368,2,19759,0,0,0,0.0
93,1778153399.5521145,decode,241,1950172,0.999449582471918,1949931,241,5354.585316512727,19757,0,241,1949690,1949931,1949931,0.9993260716485773,2,19759,0,0,0,0.0
94,1778153399.5956805,decode,241,1950413,0.9995730932952586,1950172,241,5354.585316512727,19757,0,241,1949931,1950172,1950172,0.999449582471918,2,19759,0,0,0,0.0
