,Request Id,prefill_e2e_time,cdf
130,130,0.16199402403184848,0.0645
127,127,0.16528323485239227,0.065
91,91,0.16578660779053322,0.0655
133,133,0.1685097370443458,0.066
98,98,0.16907308477319916,0.0665
153,153,0.1735036253550888,0.067
131,131,0.17377868175319833,0.0675
137,137,0.17496807518960367,0.068
118,118,0.1798675722059926,0.0685
117,117,0.18781264066026537,0.069
103,103,0.19887126368747587,0.0695
135,135,0.21277647790698495,0.07
134,134,0.23489429237923076,0.0705
140,140,0.5177741148358024,0.071
151,151,0.5868760965935351,0.0715
152,152,0.6888151546326995,0.072
150,150,0.737294258652959,0.0725
149,149,0.8670839015078897,0.073
147,147,1.1605000251084832,0.0735
148,148,1.2238192205743488,0.074
145,145,1.2305908369521603,0.0745
146,146,1.2938171364534412,0.075
142,142,1.4287287707537786,0.0755
144,144,1.5295718855600455,0.076
143,143,1.5416365530144276,0.0765
141,141,1.9493727373337038,0.077
165,165,7.3225955275607575,0.0775
164,164,7.341000848908827,0.078
163,163,7.467924657893612,0.0785
162,162,8.076788655700327,0.079
161,161,8.17915115653944,0.0795
160,160,8.497409772355553,0.08
154,154,8.625107881603967,0.0805
159,159,9.373466971423802,0.081
167,167,9.5721697658228,0.0815
158,158,9.716197095596705,0.082
157,157,9.83750360548514,0.0825
166,166,10.00294046095891,0.083
155,155,10.266448795227603,0.0835
156,156,10.30752288487379,0.084
225,225,11.737833955487531,0.0845
172,172,11.981455451045797,0.085
224,224,12.011380278287525,0.0855
175,175,12.087423271441757,0.086
176,176,12.124087087735305,0.0865
223,223,12.141698153211912,0.087
222,222,12.180878411213278,0.0875
173,173,12.201124150978202,0.088
169,169,12.204123946669682,0.0885
170,170,12.205722496407702,0.089
174,174,12.211014471882713,0.0895
226,226,12.22707000928731,0.09
168,168,12.227483256320099,0.0905
221,221,12.349848526714098,0.091
171,171,12.423560986828463,0.0915
228,228,12.652050732335063,0.092
227,227,12.716556138033425,0.0925
229,229,12.989148522821814,0.093
220,220,13.03137081235191,0.0935
233,233,13.813379621681264,0.094
234,234,13.85336337246472,0.0945
231,231,13.940778826739475,0.095
230,230,13.968837147305692,0.0955
232,232,13.97178274071181,0.096
219,219,13.99956512094267,0.0965
218,218,14.335982561984885,0.097
216,216,14.618007711667069,0.0975
217,217,14.740105699921799,0.098
198,198,15.087983607294113,0.0985
196,196,15.15177222493908,0.099
235,235,15.246086730040616,0.0995
197,197,15.247519973171073,0.1
205,205,15.261787189057856,0.1005
195,195,15.292073278389893,0.101
211,211,15.327859159291613,0.1015
215,215,15.342762229105773,0.102
194,194,15.39106750379964,0.1025
212,212,15.396821693734168,0.103
214,214,15.414150725868197,0.1035
213,213,15.454728646653294,0.104
203,203,15.516689748017797,0.1045
204,204,15.551533339805019,0.105
201,201,15.557806397621754,0.1055
210,210,15.557823358200771,0.106
191,191,15.575488058971743,0.1065
202,202,15.579573922047032,0.107
190,190,15.585691119361513,0.1075
186,186,15.59809363387042,0.108
193,193,15.60436509749372,0.1085
189,189,15.606162511522136,0.109
208,208,15.619277653837955,0.1095
206,206,15.650807515053657,0.11
192,192,15.671850319213902,0.1105
207,207,15.71296783612155,0.111
209,209,15.737316651675094,0.1115
185,185,15.755207309653322,0.112
199,199,15.81474743438391,0.1125
187,187,15.881449079752393,0.113
178,178,15.937337904283218,0.1135
177,177,15.94719608100587,0.114
180,180,15.99033656468783,0.1145
184,184,16.00508977047175,0.115
188,188,16.008964901636944,0.1155
179,179,16.02601835102022,0.116
200,200,16.06872186912907,0.1165
182,182,16.439219595987332,0.117
183,183,16.586910953968797,0.1175
181,181,16.5956519590786,0.118
238,238,17.193810860491453,0.1185
