,Request Id,prefill_time_execution_plus_preemption,cdf
71,71,0.10957453223203295,0.1045
1378,1378,0.10960416423199604,0.105
1744,1744,0.10961814823201621,0.1055
557,557,0.10962842023204189,0.106
447,447,0.1097608682320299,0.1065
1153,1153,0.10976086823205833,0.107
444,444,0.10977827623202074,0.1075
1972,1972,0.10978518823208105,0.108
792,792,0.10979990823204844,0.1085
98,98,0.10983062011328215,0.109
1991,1991,0.10983965223192627,0.1095
1641,1641,0.10987146023205696,0.11
416,416,0.10988468689870956,0.1105
1743,1743,0.10990170023205792,0.111
422,422,0.10994131623201042,0.1115
1389,1389,0.10995415889874494,0.112
446,446,0.10998387623200756,0.1125
104,104,0.1100206850620502,0.113
1032,1032,0.11002904956535531,0.1135
1035,1035,0.11002967889868387,0.114
448,448,0.11006013223203581,0.1145
1981,1981,0.110064484231998,0.115
440,440,0.11013600423203229,0.1155
1745,1745,0.11014294823200999,0.116
1392,1392,0.11016957223193913,0.1165
1154,1154,0.1102034922320172,0.117
1287,1287,0.11021520423207676,0.1175
1874,1874,0.11024050556545717,0.118
1722,1722,0.11024854823210717,0.1185
674,674,0.11025279356533702,0.119
1999,1999,0.11028384327892127,0.1195
789,789,0.11030756689865484,0.12
1369,1369,0.11040381223210716,0.1205
673,673,0.11041253756536662,0.121
805,805,0.1105183935653713,0.1215
1982,1982,0.11054512423197593,0.122
794,794,0.11059134289865824,0.1225
1723,1723,0.11059530023203479,0.123
675,675,0.11060733223200714,0.1235
702,702,0.1106269802320412,0.124
806,806,0.11064101756534228,0.1245
1721,1721,0.1106549802320842,0.125
1967,1967,0.1106685162320673,0.1255
1971,1971,0.11067222823203338,0.126
1980,1980,0.11067802023205786,0.1265
1288,1288,0.1107054442320532,0.127
1370,1370,0.11070947623204574,0.1275
1055,1055,0.1107199722320047,0.128
1405,1405,0.11073074556543361,0.1285
1875,1875,0.11073074556543361,0.129
565,565,0.11077155623203794,0.1295
412,412,0.11086766228919487,0.13
568,568,0.11088227623204716,0.1305
1395,1395,0.11089676156541373,0.131
105,105,0.11092880216681067,0.1315
107,107,0.1109326421668122,0.132
1049,1049,0.11094506023204076,0.1325
1396,1396,0.11094565756536667,0.133
1631,1631,0.11094565756536667,0.1335
1994,1994,0.11094706556536948,0.134
106,106,0.11094953816681041,0.1345
539,539,0.11097216423203804,0.135
703,703,0.11100022823205791,0.1355
1644,1644,0.11101475623206625,0.136
1626,1626,0.11103907623203213,0.1365
544,544,0.11105619623205598,0.137
1027,1027,0.1110571455653826,0.1375
701,701,0.11106509223202465,0.138
1054,1054,0.11106509223202465,0.1385
1630,1630,0.1110908095653258,0.139
1627,1627,0.11111754023204412,0.1395
1056,1056,0.11111984423200738,0.14
411,411,0.11112340628918105,0.1405
1368,1368,0.11116070823209157,0.141
1149,1149,0.11116963623203446,0.1415
1995,1995,0.11117183356532223,0.142
1148,1148,0.11117334823200054,0.1425
1645,1645,0.11117834023207251,0.143
452,452,0.11118691623201471,0.1435
799,799,0.11121261223200918,0.144
567,567,0.11122355623203362,0.1445
1748,1748,0.11123864956527996,0.145
556,556,0.11125882023205236,0.1455
569,569,0.11126538023205512,0.146
1749,1749,0.11127256956535803,0.1465
1638,1638,0.11128182823210864,0.147
536,536,0.11128650023204045,0.1475
807,807,0.11129200423204111,0.148
1291,1291,0.11129663356530273,0.1485
1408,1408,0.11129663356530273,0.149
1878,1878,0.11129663356530273,0.1495
1031,1031,0.11135013756535272,0.15
413,413,0.1113936493368044,0.1505
677,677,0.1114160468987393,0.151
1974,1974,0.11142125223204857,0.1515
1970,1970,0.11142912423201778,0.152
566,566,0.11144269223203196,0.1525
1993,1993,0.11146671356539173,0.153
1643,1643,0.1114768682319891,0.1535
1158,1158,0.11151382823203448,0.154
1152,1152,0.11152550823203455,0.1545
706,706,0.11153680423200285,0.155
