,Time (sec),throughput
2937,125.25245236369382,274707
2938,125.29844162364188,274859
2939,125.34443088358994,275011
2940,125.390420143538,275163
2941,125.43640940348605,275315
2942,125.48239866343411,275467
2943,125.52838792338217,275618
2944,125.57437718333023,275769
2945,125.62036644327829,275920
2946,125.66635570322634,276071
2947,125.7123449631744,276222
2948,125.75833422312246,276373
2949,125.80432348307052,276524
2950,125.85031274301858,276675
2951,125.89630200296664,276826
2952,125.9422912629147,276977
2953,125.98828052286275,277127
2954,126.03426978281081,277277
2955,126.08025904275887,277427
2956,126.12624830270693,277577
2957,126.17223756265498,277727
2958,126.21822682260304,277877
2959,126.2642160825511,278027
2960,126.31020534249916,278177
2961,126.35619460244722,278327
2962,126.40218386239528,278477
2963,126.44817312234333,278626
2964,126.49416238229139,278775
2965,126.54015164223945,278924
2966,126.58614090218751,279073
2967,126.63213016213557,279221
2968,126.67811942208363,279369
2969,126.72410868203168,279517
2970,126.77009794197974,279665
2971,126.8160872019278,279812
2972,126.86207646187586,279959
2973,126.90806572182392,280106
2974,126.95405498177198,280252
2975,127.00004424172003,280398
2976,127.06365389183605,280544
2977,127.11713319498024,280690
2978,127.1631224549283,280836
2979,127.20911171487636,280982
2980,127.25510097482442,281128
2981,127.30109023477247,281274
2982,127.34707949472053,281420
2983,127.39306875466859,281566
2984,127.43905801461665,281712
2985,127.4850472745647,281857
2986,127.53103653451277,282002
2987,127.57702579446082,282147
2988,127.62301505440888,282292
2989,127.67120165249027,282436
2990,127.71938825057165,282580
2991,127.76757484865304,282724
2992,127.81576144673443,282868
2993,127.86394804481581,283011
2994,127.9121346428972,283154
2995,127.96032124097859,283297
2996,128.00850783905997,283439
2997,128.05669443714135,283581
2998,128.10488103522272,283723
2999,128.1530676333041,283865
3000,128.20125423138546,284007
3001,128.24944082946683,284149
3002,128.2976274275482,284291
3003,128.34581402562958,284433
3004,128.39400062371095,284575
3005,128.44218722179232,284717
3006,128.4903738198737,284859
3007,128.53856041795507,285001
3008,128.58674701603644,285142
3009,128.6349336141178,285283
3010,128.68312021219919,285424
3011,128.73130681028056,285565
3012,128.77949340836193,285706
3013,128.8276800064433,285847
3014,128.87586660452467,285988
3015,128.9419446066407,286129
3016,128.99790988815266,286270
3017,129.04609648623403,286411
3018,129.0942830843154,286552
3019,129.14246968239678,286693
3020,129.19065628047815,286834
3021,129.23884287855952,286975
3022,129.2870294766409,287116
3023,129.33521607472227,287257
3024,129.38340267280364,287397
3025,129.431589270885,287537
3026,129.47977586896639,287677
3027,129.52796246704776,287817
3028,129.57614906512913,287957
3029,129.6243356632105,288097
3030,129.67252226129187,288237
3031,129.72070885937325,288377
3032,129.76889545745462,288517
3033,129.817082055536,288657
3034,129.86526865361736,288797
3035,129.91345525169874,288937
3036,129.9616418497801,289077
3037,130.00982844786148,289216
3038,130.05801504594285,289355
3039,130.10620164402422,289493
3040,130.1543882421056,289631
3041,130.20257484018697,289769
3042,130.25076143826834,289907
3043,130.2989480363497,290045
3044,130.3471346344311,290183
3045,130.39532123251246,290321
3046,130.44350783059383,290459
3047,130.4916944286752,290597
3048,130.53988102675658,290735
3049,130.58806762483795,290873
3050,130.63625422291932,291011
3051,130.6844408210007,291149
3052,130.73262741908206,291286
3053,130.78081401716344,291423
3054,130.8290006152448,291560
3055,130.87718721332618,291697
3056,130.92401070496948,291833
3057,130.9900887070855,291969
3058,131.05645470920152,292105
3059,131.12283799131754,292241
3060,131.18936712943355,292377
3061,131.25594625154957,292513
3062,131.32219884566558,292648
3063,131.3884003677816,292784
3064,131.4548714578976,292919
3065,131.52186103334697,293054
3066,131.587926235463,293189
3067,131.654370701579,293325
3068,131.71830367969503,293460
3069,131.78236593781105,293596
3070,131.8461710652604,293733
3071,131.91023473137642,293869
3072,131.97485429082576,294006
3073,132.0385998769418,294144
3074,132.1023797030578,294283
3075,132.16644336917383,294422
3076,132.23076265128987,294562
3077,132.2945082374059,294703
3078,132.3581939195219,294845
3079,132.42212689763792,294987
3080,132.48618915575395,295130
3081,132.54986114186997,295274
3082,132.61401261598598,295418
3083,132.67863217543533,295563
3084,132.74237776155135,295709
3085,132.80615758766737,295856
3086,132.87020653378337,296003
3087,132.9175314800206,296150
3088,132.96352073996866,296297
3089,133.02713039008466,296444
3090,133.07932944526289,296591
3091,133.1429390953789,296738
3092,133.20668468149492,296885
3093,133.27046450761094,297033
3094,133.33451345372694,297180
3095,133.39857571184297,297328
3096,133.462247697959,297477
3097,133.52637254807502,297626
3098,133.58998219819102,297776
3099,133.65372778430705,297927
3100,133.71604030780995,298078
3101,133.762029567758,298229
3102,133.825639217874,298380
3103,133.87791601427125,298531
3104,133.9239052742193,298682
3105,133.96989453416734,298833
3106,134.01588379411538,298984
3107,134.06187305406343,299135
3108,134.10786231401147,299286
3109,134.1538515739595,299437
3110,134.19984083390756,299588
3111,134.2458300938556,299739
3112,134.29181935380365,299890
3113,134.3378086137517,300041
3114,134.38379787369973,300191
3115,134.42978713364778,300341
3116,134.47577639359582,300491
3117,134.52176565354387,300641
3118,134.5677549134919,300791
3119,134.61374417343995,300941
3120,134.659733433388,301091
3121,134.70572269333604,301241
3122,134.7517119532841,301391
3123,134.79770121323213,301541
3124,134.84369047318017,301690
3125,134.88967973312822,301839
3126,134.93566899307626,301988
3127,134.9816582530243,302137
3128,135.02764751297235,302285
3129,135.0736367729204,302433
3130,135.11962603286844,302581
3131,135.16561529281648,302729
3132,135.21160455276453,302876
3133,135.25759381271257,303023
3134,135.30358307266062,303170
3135,135.34957233260866,303316
3136,135.3955615925567,303462
3137,135.44155085250475,303608
3138,135.4875401124528,303754
3139,135.53352937240084,303899
3140,135.57951863234888,304044
3141,135.62550789229692,304189
3142,135.67149715224497,304334
3143,135.71968375032634,304478
3144,135.7678703484077,304622
3145,135.81605694648908,304766
3146,135.86424354457046,304910
3147,135.91243014265183,305053
3148,135.9606167407332,305196
3149,136.00880333881457,305339
3150,136.05698993689595,305481
3151,136.10517653497732,305623
3152,136.1533631330587,305765
3153,136.20154973114006,305907
3154,136.24973632922143,306048
3155,136.2979229273028,306189
3156,136.34610952538418,306330
3157,136.39429612346555,306471
3158,136.44248272154692,306612
3159,136.4906693196283,306753
3160,136.53885591770967,306894
3161,136.58704251579104,307035
3162,136.6352291138724,307176
3163,136.68341571195378,307317
3164,136.73160231003516,307458
3165,136.77978890811653,307599
3166,136.8279755061979,307739
3167,136.87616210427927,307879
3168,136.92434870236065,308019
3169,136.97253530044202,308159
3170,137.0207218985234,308298
3171,137.06890849660476,308437
3172,137.11709509468614,308576
3173,137.1652816927675,308715
3174,137.21346829084888,308853
3175,137.26165488893025,308991
3176,137.30984148701162,309129
3177,137.358028085093,309267
3178,137.40621468317437,309405
3179,137.45440128125574,309542
3180,137.5025878793371,309679
3181,137.55077447741849,309816
3182,137.59896107549986,309953
3183,137.64578456714315,310089
3184,137.69260805878645,310225
3185,137.73943155042974,310361
3186,137.78625504207304,310497
3187,137.83307853371633,310632
3188,137.87990202535963,310767
3189,137.92672551700292,310902
3190,137.97354900864622,311037
3191,138.0203725002895,311172
3192,138.0671959919328,311306
3193,138.1140194835761,311440
3194,138.1608429752194,311574
