,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
1089,1089,0.00015595600030336178,0.113
1196,1196,0.0001560345259933973,0.1135
1197,1197,0.00015611411321454852,0.114
62,62,0.00015617709062725263,0.1145
1417,1417,0.00015630355204945167,0.115
736,736,0.00015654127231541482,0.1155
12,12,0.00015667869576569196,0.116
1679,1679,0.00015710963245780344,0.1165
851,851,0.00015712795299879093,0.117
1321,1321,0.00015728180443397562,0.1175
1680,1680,0.0001574535928994094,0.118
1440,1440,0.0001575225355654455,0.1185
1910,1910,0.0001575225355654455,0.119
379,379,0.00015769659781732147,0.1195
965,965,0.00015772980205968536,0.12
1441,1441,0.0001582043934024312,0.1205
1304,1304,0.00015830498031639515,0.121
966,966,0.00015841477158514718,0.1215
1322,1322,0.00015886450208162185,0.122
1091,1091,0.00015899166430942082,0.1225
383,383,0.00015940364032088927,0.123
1891,1891,0.00015942185393232348,0.1235
614,614,0.0001599266686787301,0.124
738,738,0.00015998297618237292,0.1245
505,505,0.00016005872245911034,0.125
1199,1199,0.0001602075404684036,0.1255
1787,1787,0.00016023393275372655,0.126
852,852,0.00016029753670089653,0.1265
1911,1911,0.0001603336584549538,0.127
1092,1092,0.00016035798418289216,0.1275
1788,1788,0.0001603974680536887,0.128
739,739,0.00016122478409739429,0.1285
1324,1324,0.0001614827012610885,0.129
59,59,0.00016189842622880632,0.1295
968,968,0.00016192516562611443,0.13
63,63,0.00016217809062725463,0.1305
481,481,0.00016243700310294214,0.131
1200,1200,0.00016267647212582476,0.1315
854,854,0.0001635716711002272,0.132
1682,1682,0.00016357643260194672,0.1325
56,56,0.0001635913490462687,0.133
365,365,0.000163682090586072,0.1335
1443,1443,0.00016392424174495535,0.134
1913,1913,0.00016392424174495535,0.1345
616,616,0.00016399197055820842,0.135
1790,1790,0.00016421184871959457,0.1355
19,19,0.00016424582076569189,0.136
506,506,0.0001643338019725115,0.1365
1444,1444,0.00016440826034862764,0.137
617,617,0.00016452336454572797,0.1375
1914,1914,0.00016463597262057864,0.138
1552,1552,0.00016485119434774583,0.1385
969,969,0.00016509329476674693,0.139
1553,1553,0.00016523631903319412,0.1395
855,855,0.00016524423854857585,0.14
1326,1326,0.00016557272039406635,0.1405
1327,1327,0.0001656855469152026,0.141
257,257,0.00016571694528549034,0.1415
1094,1094,0.00016597457055919065,0.142
955,955,0.00016656746157661304,0.1425
1683,1683,0.000166583714610656,0.143
1202,1202,0.00016665989870590507,0.1435
741,741,0.00016696068470683568,0.144
1791,1791,0.00016731447785397566,0.1445
1307,1307,0.00016765289113160645,0.145
258,258,0.00016775456715586426,0.1455
1657,1657,0.000167782000336876,0.146
1446,1446,0.00016837361010632934,0.1465
1916,1916,0.00016837361010632934,0.147
971,971,0.00016866159580207303,0.1475
1068,1068,0.0001687852277596162,0.148
508,508,0.00016908368782960053,0.1485
1329,1329,0.00016928695068367853,0.149
1096,1096,0.0001693687991955806,0.1495
1097,1097,0.00016991538890295032,0.15
1203,1203,0.0001701577263452392,0.1505
972,972,0.00017043762890295967,0.151
1685,1685,0.00017053841366483928,0.1515
1330,1330,0.00017068145955939187,0.152
743,743,0.00017076160906746564,0.1525
719,719,0.00017079310210180474,0.153
1793,1793,0.00017098467081947473,0.1535
744,744,0.0001710271784943494,0.154
368,368,0.0001711436770964652,0.1545
66,66,0.0001713377299986489,0.155
1774,1774,0.0001716635069452304,0.1555
857,857,0.00017170606652094686,0.156
1448,1448,0.00017223369190417245,0.1565
1918,1918,0.00017223369190417245,0.157
484,484,0.00017223590121285707,0.1575
67,67,0.00017237572999864378,0.158
1794,1794,0.0001724080061156285,0.1585
